text,created_at,Unique Identifier
Leaving South Korea now heading to China. Looking very much forward to meeting and being with President Xi!,2017-11-08,98
On behalf of @FLOTUS Melania and I THANK YOU for an unforgettable?ÿafternoon and evening?ÿat the?ÿForbidden City in Beijing President Xi and Madame Peng Liyuan. We are looking forward to rejoining you tomorrow morning! https://t.co/ma0F7SHbVU,2017-11-08,98
NoKo has interpreted America's past restraint as weakness. This would be a fatal miscalculation. Do not underestimate us. AND DO NOT TRY US. https://t.co/4llqLrNpK3,2017-11-08,98
Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautiful welcome China! @FLOTUS Melania and I will never forget it! https://t.co/sQoUWIGAiQ,2017-11-08,98
Congratulations to all of the ƒ?ùDEPLORABLESƒ?ù and the millions of people who gave us a MASSIVE (304-227) Electoral College landslide victory! https://t.co/7ifv5gT7Ur,2017-11-08,98
President Xi thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! ????https://t.co/J9x51h1LBe https://t.co/g4Z7mO5cV9,2017-11-09,98
In the coming months and years ahead I look forward to building an even STRONGER relationship between the United States and China. ???§???????????? https://t.co/mK3SB7t3EV,2017-11-09,98
I donƒ??t blame China I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on trade leading up to a point where the U.S. is losing $100's of billions. How can you blame China for taking advantage of people that had no clue? I would've done same!,2017-11-09,98
My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a highly respected and powerful representative of his people. It was great being with him and Madame Peng Liyuan!,2017-11-09,98
I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo and of course the Great WALL of China before going to Alaska to greet our AMAZING troops.,2017-11-10,99
Just landed in Da Nang Vietnam to deliver a speech at #APEC2017,2017-11-10,99
Throughout my travels I've had the pleasure of sharing the good news from America. I've had the honor of sharing our vision for a free &amp; open Indo-Pacific -- a place where sovereign &amp; independent nations w/diverse cultures &amp; many different dreams can all prosper side-by-side. https://t.co/qBOCY3u7YV,2017-11-10,99
In more and more places throughout this region citizens of SOVEREIGN and INDEPENDENT nations have taken greater control of their destinies and unlocked the potential of their people. #APEC2017 https://t.co/a570IIGe0I,2017-11-10,99
Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendship and commerce between all of the nations of the Indo-Pacific and together to promote our prosperity and security. #APEC2017 https://t.co/gN2YbS9CYB,2017-11-10,99
The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial commerce that is in the interests of both your countries and mine. That is the message I am here to deliver today. #APEC2017 https://t.co/CM3Hqt16A8,2017-11-10,99
The United States has been reminded time and again in recent years that economic security is not merely RELATED to national security -economic security IS national security. It is vital to our national strength. #APEC2017 https://t.co/mGPeyZEyqm,2017-11-10,99
The United States has been reminded time and again in recent years that economic security is not merely RELATED to national security - economic security IS national security. It is vital to our national strength. #APEC2017 https://t.co/8gKQUhit2X,2017-11-10,99
On behalf of an entire nation Happy 242nd Birthday to the men and women of the United States Marines!#USMC242 #SemperFi https://t.co/ecgoSJP5Uc,2017-11-10,99
On this wonderful Veterans Day I want to express the incredible gratitude of the entire American Nation to our GREAT VETERANS. Thank you! https://t.co/GhQbCA7yII,2017-11-11,99
ƒ??Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam Warƒ?ù ƒ?_‹?èhttps://t.co/hgUQP9leqK ƒ?_‹?èhttps://t.co/9C0yyIv9Ws https://t.co/f9snmRUA4a,2017-11-11,99
President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.,2017-11-11,99
Will be doing a joint press conference in Hanoi Vietnam then heading for final destination of trip the Phillipines.,2017-11-11,99
Met with President Putin of Russia who was at #APEC meetings. Good discussions on Syria. Hope for his help to solve along with China the dangerous North Korea crisis. Progress being made.,2017-11-12,99
When will all the haters and fools out there realize that having a good relationship with Russia is a good thing not a bad thing. There always playing politics - bad for our country. I want to solve North Korea Syria Ukraine terrorism and Russia can greatly help!,2017-11-12,99
Does the Fake News Media remember when Crooked Hillary Clinton as Secretary of State was begging Russia to be our friend with the misspelled reset button? Obama tried also but he had zero chemistry with Putin.,2017-11-12,99
"Why would Kim Jong-un insult me by calling me ""old"" when I would NEVER call him ""short and fat?"" Oh well I try so hard to be his friend - and maybe someday that will happen!",2017-11-12,99
Just landed in the Philippines after a great day of meetings and events in Hanoi Vietnam!,2017-11-12,99
Just landed in the Philippines after a great day of meetings and events in Hanoi Vietnam! https://t.co/YxHRNhhPWo,2017-11-12,99
We had a wonderful visit to Vietnam thank you President Tran Dai Quang! Heading to the #ASEANSummit 50th Anniv Gala in the Philippines now. https://t.co/WfSd8EE3Nm,2017-11-12,99
Thank you! https://t.co/TD0rYcWN8C,2017-11-12,99
Great day of bilateral meetings at #ASEANSummit on trade which we are turning around to be great deals for our country! https://t.co/2ahAvm4n9s,2017-11-13,100
Will be leaving the Philippines tomorrow after many days of constant mtgs &amp; work in order to #MAGA! My promises are rapidly being fulfilled.,2017-11-13,100
Happy to announce I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!,2017-11-13,100
I am proud of the Rep. House &amp; Senate for working so hard on cutting taxes {&amp; reform.} Weƒ??re getting close! Now how about ending the unfair &amp; highly unpopular Indiv Mandate in OCare &amp; reducing taxes even further? Cut top rate to 35% w/all of the rest going to middle income cuts?,2017-11-13,100
Excited to be heading home to see the House pass a GREAT Tax Bill with the middle class getting big TAX CUTS!#MakeAmericaGreatAgain???§????,2017-11-14,100
Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!,2017-11-14,100
After my tour of Asia all Countries dealing with us on TRADE know that the rules have changed. The United States has to be treated fairly and in a reciprocal fashion. The massive TRADE deficits must go down quickly!,2017-11-14,100
Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS unlike the horror shows from past Administrations. Will then be leaving for D.C. Made many good friends!,2017-11-14,100
I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.,2017-11-14,100
One of the most accurate polls last time around. But #FakeNews likes to say weƒ??re in the 30ƒ??s. They are wrong. Some people think numbers could be in the 50's. Together WE will MAKE AMERICA GREAT AGAIN! https://t.co/YhrwkdObhP,2017-11-14,100
THANK YOU to the amazing staff and their families of the United States Embassy in the Philippines. Keep up the GREAT WORK! https://t.co/3ABVXTsJM0,2017-11-14,100
THANK YOU ASIA! #USA???§???? https://t.co/FziKSbrzcu,2017-11-14,100
May God be with the people of Sutherland Springs Texas. The FBI and Law Enforcement has arrived.,2017-11-15,100
Just returned from Asia after 12 very successful days. Great to be home!,2017-11-15,100
RT @realDonaldTrump: Thank you to our GREAT Military/Veterans and @PacificCommand.Remember #PearlHarbor. Remember the @USSArizona!A dayƒ??,2017-11-15,100
RT @PChowka: Sean Hannity's Big Week - Top Ratings Probing Reporting and Let There Be Light at American Thinker https://t.co/b0RxpZd3Lb hƒ??,2017-11-15,100
RT @realDonaldTrump: Unemployment is down to 4.1% lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Markƒ??,2017-11-15,100
RT @Scavino45: 20295 miles later #POTUSinAsia has successfully concluded as @POTUS @realDonaldTrump lands on the South Lawn of @WhiteHouseƒ??,2017-11-15,100
Our great country is respected again in Asia. You will see the fruits of our long but successful trip for many years to come!,2017-11-15,100
.@foxandfriends will be showing much of our successful trip to Asia and the friendships &amp; benefits that will endure for years to come!,2017-11-15,100
While in the Philippines I was forced to watch @CNN which I have not done in months and again realized how bad and FAKE it is. Loser!,2017-11-15,100
Thank you working hard! https://t.co/TmNdNPBJ3m,2017-11-15,100
Thank you! https://t.co/EQMwv1XbiM,2017-11-15,100
Do you think the three UCLA Basketball Players will say thank you President Trump? They were headed for 10 years in jail!,2017-11-15,100
The failing @nytimes hates the fact that I have developed a great relationship with World leaders like Xi Jinping President of China.....,2017-11-15,100
...They should realize that these relationships are a good thing not a bad thing. The U.S. is being respected again. Watch Trade!,2017-11-15,100
It is actually hard to believe how naive (or dumb) the Failing @nytimes is when it comes to foreign policy...weak and ineffective!,2017-11-15,100
Why are Democrats fighting massive tax cuts for the middle class and business (jobs)? The reason: Obstruction and Delay!,2017-11-16,101
Big vote tomorrow in the House. Tax cuts are getting close!,2017-11-16,101
To the three UCLA basketball players I say:  You're welcome go out and give a big Thank You to President Xi Jinping of China who made.....,2017-11-16,101
....your release possible and HAVE A GREAT LIFE! Be careful there are many pitfalls on the long and winding road of life!,2017-11-16,101
China is sending an Envoy and Delegation to North Korea - A big move we'll see what happens!,2017-11-16,101
Need all on the UN Security Council to vote to renew the Joint Investigative Mechanism for Syria to ensure that Assad Regime does not commit mass murder with chemical weapons ever again.,2017-11-16,101
Congratulations to the House of Representatives for passing the #TaxCutsandJobsAct ƒ?? a big step toward fulfilling our promise to deliver historic TAX CUTS for the American people by the end of the year! https://t.co/8FjefMj6hh,2017-11-16,101
Big win today in the House for GOP Tax Cuts and Reform 227-205. Zero Dems they want to raise taxes much higher but not for our military!,2017-11-17,101
The Al Frankenstien picture is really bad speaks a thousand words. Where do his hands go in pictures 2 3 4 5 &amp; 6 while she sleeps? .....,2017-11-17,101
.And to think that just last week he was lecturing anyone who would listen about sexual harassment and respect for women. Lesley Stahl tape?,2017-11-17,101
Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform we'll really see some great results!,2017-11-17,101
If Democrats were not such obstructionists and understood the power of lower taxes we would be able to get many of their ideas into Bill!,2017-11-17,101
Together we're going to restore safety to our streets and peace to our communities and we're going to destroy the vile criminal cartel #MS13 and many other gangs...'Hundreds arrested in MS-13 crackdown'https://t.co/Mp268d8RaU https://t.co/mrynwnTuoO,2017-11-17,101
Today it was an honor to celebrate the Collegiate National Champions of 2016/2017 at the @WhiteHouse! #NCAAChampions??è?Photos: https://t.co/Ecl2phhzyl https://t.co/w8jE24pLwa,2017-11-17,101
Put big game trophy decision on hold until such time as I review all conservation facts. Under study for years. Will update soon with Secretary Zinke. Thank you!,2017-11-18,101
Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just canƒ??t stop which is so good for the Republican Party. Hillary get on with your life and give it another try in three years!,2017-11-18,101
RT @piersmorgan: BOOM! Thank you Mr President. Trophy-hunting is repellent. https://t.co/iEPfEQNX4t,2017-11-18,101
RT @greta: Thank you @realDonaldTrump - this is important to so many of us https://t.co/zJAfZByQKX,2017-11-18,101
Now that the three basketball players are out of China and saved from years in jail LaVar Ball the father of LiAngelo is unaccepting of what I did for his son and that shoplifting is no big deal. I should have left them in jail!,2017-11-19,102
Sen. Jeff Flake(y) who is unelectable in the Great State of Arizona (quit race anemic polls) was caught (purposely) on ƒ??mikeƒ?ù saying bad things about your favorite President. Heƒ??ll be a NO on tax cuts because his political career anyway is ƒ??toast.ƒ?ù,2017-11-19,102
Shoplifting is a very big deal in China as it should be (5-10 years in jail) but not to father LaVar. Should have gotten his son out during my next trip to China instead. China told them why they were released. Very ungrateful!,2017-11-19,102
Big-game trophy decision will be announced next week but will be very hard pressed to change my mind that this horror show in any way helps conservation of Elephants or any other animal.,2017-11-19,102
Border Patrol Officer killed at Southern Border another badly hurt. We will seek out and bring to justice those responsible. We will and must build the Wall!,2017-11-20,102
Republican Senators are working very hard to get Tax Cuts and Tax Reform approved. Hopefully it will not be long and they do not want to disappoint the American public!,2017-11-20,102
Marshawn Lynch of the NFLƒ??s Oakland Raiders stands for the Mexican Anthem and sits down to boos for our National Anthem. Great disrespect! Next time NFL should suspend him for remainder of season. Attendance and ratings way down.,2017-11-20,102
Under President Trump unemployment rate will drop below 4%.  Analysts predict economic boom for 2018!  @foxandfriends and @Varneyco,2017-11-20,102
President Donald J. Trump and @FLOTUS Melania Participate in the Pardoning of the National Thanksgiving Turkey at the White House. https://t.co/Zauqz4jfWv,2017-11-21,102
Today we continued a wonderful American Tradition at the White House. Drumstick and Wishbone will live out their days in the beautiful Blue Ridge Mountains at Gobblerƒ??s Rest... https://t.co/fsS8B8f5UR,2017-11-21,102
It wasnƒ??t the White House it wasnƒ??t the State Department it wasnƒ??t father LaVarƒ??s so-called people on the ground in China that got his son out of a long term prison sentence - IT WAS ME. Too bad! LaVar is just a poor manƒ??s version of Don King but without the hair. Just think..,2017-11-22,103
...LaVar you could have spent the next 5 to 10 years during Thanksgiving with your son in China but no NBA contract to support you. But remember LaVar shoplifting is NOT a little thing. Itƒ??s a really big deal especially in China. Ungrateful fool!,2017-11-22,103
The NFL is now thinking about a new idea - keeping teams in the Locker Room during the National Anthem next season. Thatƒ??s almost as bad as kneeling! When will the highly paid Commissioner finally get tough and smart? This issue is killing your league!.....,2017-11-22,103
Another Crooked Hillary Fan! https://t.co/1LidydhORD,2017-11-22,103
RT @Realjmannarino: @realDonaldTrump The ungratefulness is something Iƒ??ve never seen before. If you get someoneƒ??s son out of prison he shoƒ??,2017-11-22,103
RT @IngrahamAngle: ƒ??Far rightƒ?ù? You mean ƒ??right so farƒ?ù as in @realDonaldTrump has been right so far abt how to kick the economy into highƒ??,2017-11-22,103
Will be having meetings and working the phones from the Winter White House in Florida (Mar-a-Lago). Stock Market hit new Record High yesterday - $5.5 trillion gain since E. Many companies coming back to the U.S. Military building up and getting very strong.,2017-11-22,103
The @USNavy is conducting search and rescue following aircraft crash. We are monitoring the situation. Prayers for all involved. https://t.co/1AxmegKqvu,2017-11-22,103
RT @FLOTUS: Preparations are underway to celebrate the holidays at the @WhiteHouse! https://t.co/N5qZ1NP8ez,2017-11-22,103
51 Million American to travel this weekend - highest number in twelve years (AAA). Traffic and airports are running very smoothly!  @FoxNews,2017-11-22,103
I have long given the order to help Argentina with the Search and Rescue mission of their missing submarine. 45 people aboard and not much time left. May God be with them and the people of Argentina!,2017-11-22,103
....And it will get even better with Tax Cuts! https://t.co/75wozGJQoP,2017-11-23,103
HAPPY THANKSGIVING your Country is starting to do really well. Jobs coming back highest Stock Market EVER Military getting really strong we will build the WALL V.A. taking care of our Vets great Supreme Court Justice RECORD CUT IN REGS lowest unemployment in 17 years....!,2017-11-23,103
@ThePlumLineGS MAKE AMERICA GREAT AGAIN!,2017-11-23,103
MAKE AMERICA GREAT AGAIN!,2017-11-23,103
Will be doing a live Thanksgiving Video Teleconference with Members of the Military at 9:00 A.M.  Afghanistan Iraq USS Monterey Turkey &amp; Bahrain. Then going to Coast Guard Quarters Florida.,2017-11-23,103
HAPPY THANKSGIVING! https://t.co/nQhi7XopMW,2017-11-23,103
My great honor to join our incredible men and women of the @USCG at the Lake Worth Inlet Station in Riviera Beach Florida today!#HappyThanksgiving https://t.co/C35HR9opbP,2017-11-23,103
ObamaCare premiums are going up up up just as I have been predicting for two years. ObamaCare is OWNED by the Democrats and it is a disaster. But do not worry. Even though the Dems want to Obstruct we will Repeal &amp; Replace right after Tax Cuts!,2017-11-23,103
RT @Scavino45: Today @POTUS @realDonaldTrump and @FLOTUS Melania visit the @USCG at the Lake Worth Inlet Station in Riviera Beach Floridƒ??,2017-11-24,103
RT @DeptofDefense: #HappyThanksgiving from @USArmy and @USNationalGuard #soldiers serving with Task Force Marauder in #Afghanistan. ???Ÿ httpsƒ??,2017-11-24,103
A great guy (with great ratings)! https://t.co/S0S6xqrjSC,2017-11-24,103
Two great people! https://t.co/5cVnMhnmuH,2017-11-24,103
Can you believe that the disrespect for our Country our Flag our Anthem continues without penalty to the players. The Commissioner has lost control of the hemorrhaging league. Players are the boss! https://t.co/udXP5MR8BC,2017-11-24,103
Will be speaking to President Recep Tayyip Erdogan of Turkey this morning about bringing peace to the mess that I inherited in the Middle East. I will get it all done but what a mistake in lives and dollars (6 trillion) to be there in the first place!,2017-11-24,103
After Turkey call I will be heading over to Trump National Golf Club Jupiter to play golf (quickly) with Tiger Woods and Dustin Johnson. Then back to Mar-a-Lago for talks on bringing even more jobs and companies back to the USA!,2017-11-24,103
Horrible and cowardly terrorist attack on innocent and defenseless worshipers in Egypt. The world cannot tolerate terrorism we must defeat them militarily and discredit the extremist ideology that forms the basis of their existence!,2017-11-24,103
Will be calling the President of Egypt in a short while to discuss the tragic terrorist attack with so much loss of life. We have to get TOUGHER AND SMARTER than ever before and we will. Need the WALL need the BAN! God bless the people of Egypt.,2017-11-24,103
Time Magazine called to say that I was PROBABLY going to be named ƒ??Man (Person) of the Yearƒ?ù like last year but I would have to agree to an interview and a major photo shoot. I said probably is no good and took a pass. Thanks anyway!,2017-11-24,103
Happy #SmallBusinessSaturday!A great day to support your community and Americaƒ??s JOB creators by shopping locally at a #SmallBiz. #ShopSmall https://t.co/pBQaBHvl7k,2017-11-25,104
The Consumer Financial Protection Bureau or CFPB has been a total disaster as run by the previous Administrations pick. Financial Institutions have been devastated and unable to properly serve the public. We will bring it back to life!,2017-11-25,104
Check out the recent Editorial in the Wall Street Journal @WSJ about what a complete disaster the @CFPB has been under its leader from previous Administration who just quit!,2017-11-25,104
.@FoxNews is MUCH more important in the United States than CNN but outside of the U.S. CNN International is still a major source of (Fake) news and they represent our Nation to the WORLD very poorly. The outside world does not see the truth from them!,2017-11-25,104
Wow even I didnƒ??t realize we did so much. Wish the Fake News would report! Thank you. https://t.co/ApVbu2b0Jd,2017-11-25,104
The last thing we need in Alabama and the U.S. Senate is a Schumer/Pelosi puppet who is WEAK on Crime WEAK on the Border Bad for our Military and our great Vets Bad for our 2nd Amendment AND WANTS TO RAISES TAXES TO THE SKY. Jones would be a disaster!,2017-11-26,104
I endorsed Luther Strange in the Alabama Primary. He shot way up in the polls but it wasnƒ??t enough. Canƒ??t let Schumer/Pelosi win this race. Liberal Jones would be BAD!,2017-11-26,104
Since the first day I took office all you hear is the phony Democrat excuse for losing the election Russia RussiaRussia.  Despite this I have the economy booming and have possibly done more than any 10 month President. MAKE AMERICA GREAT AGAIN!,2017-11-26,104
Back in D.C. big week for Tax Cuts and many other things of great importance to our Country.  Senate Republicans will hopefully come through for all of us. The Tax Cut Bill is getting better and better. The end result will be great for ALL!,2017-11-27,104
We should have a contest as to which of the Networks plus CNN and not including Fox is the most dishonest corrupt and/or distorted in its political coverage of your favorite President (me). They are all bad. Winner to receive the FAKE NEWS TROPHY!,2017-11-27,104
The good news is that their ratings are terrible nobody cares! https://t.co/I7h4Ryin3h,2017-11-27,104
The Tax Cut Bill is coming along very well great support. With just a few changes some mathematical the middle class and job producers can get even more in actual dollars and savings and the pass through provision becomes simpler and really works well!,2017-11-27,104
New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us the much needed Tax Cuts to keep it all going! Democrats want big Tax Increases.,2017-11-28,105
Thank you Rand! https://t.co/NvPeleVmub,2017-11-28,105
At least 24 players kneeling this weekend at NFL stadiums that are now having a very hard time filling up. The American public is fed up with the disrespect the NFL is paying to our Country our Flag and our National Anthem. Weak and out of control!,2017-11-28,105
Melania our great and very hard working First Lady who truly loves what she is doing always thought that ƒ??if you run you will win.ƒ?ù She would tell everyone that ƒ??no doubt he will win.ƒ?ù I also felt I would win (or I would not have run) - and Country is doing great!,2017-11-28,105
RT @FLOTUS: Had a wonderful visit from @JBA_NAFW children today at the @whitehouse! #WhiteHouseChristmas https://t.co/Hnw758zHzL,2017-11-28,105
RT @statedeptspox: #GES2017 highlights the important role of women #entrepreneurs &amp; demonstrates the importance of #innovation &amp; partnershiƒ??,2017-11-28,105
RT @FLOTUS: The decorations are up! @WhiteHouse is ready to celebrate! Wishing you a Merry Christmas &amp; joyous holiday season! https://t.co/ƒ??,2017-11-28,105
RT @IvankaTrump: Thank you for the warm welcome. Iƒ??m excited to be in Hyderabad India for #GES2017. https://t.co/1U08h5L9Rm,2017-11-28,105
Meeting with ƒ??Chuck and Nancyƒ?ù today about keeping government open and working. Problem is they want illegal immigrants flooding into our Country unchecked are weak on Crime and want to substantially RAISE Taxes. I donƒ??t see a deal!,2017-11-28,105
RT @IvankaTrump: It was an honor to meet with you Prime Minister Modi. Thank you for co-hosting the 8th annual Global Entrepreneurship Summƒ??,2017-11-28,105
ƒ??Statement from President Donald J. Trump on #GivingTuesdayƒ?ù https://t.co/NrfnmixAwR,2017-11-28,105
Remarks from the Roosevelt Room with @SenateMajLdr Mitch McConnell @SpeakerRyan and Secretary of Defense General James Mattis. https://t.co/lZMqK5jBvh,2017-11-28,105
Dow S&amp;P 500 and Nasdaq all finished the day at new RECORD HIGHS! https://t.co/wJyB9d00hh,2017-11-28,105
ƒ??The Conference Board said that consumer sentiment was at its highest level in nearly 17 years in November. The Consumer Confidence Index rose from 126.2 in October to 129.5 notching its best reading since December 2000...ƒ?ù https://t.co/iNOtT3K8Vn,2017-11-28,105
RT @narendramodi: Had a wonderful meeting with @IvankaTrump advisor to @POTUS and leader of the US delegation at the @GES2017. https://t.cƒ??,2017-11-28,105
After North Korea missile launch it's more important than ever to fund our gov't &amp; military! Dems shouldn't hold troop funding hostage for amnesty &amp; illegal immigration. I ran on stopping illegal immigration and won big. They can't now threaten a shutdown to get their demands.,2017-11-29,105
Charles McCullough the respected fmr Intel Comm Inspector General said public was misled on Crooked Hillary Emails. ƒ??Emails endangered National Security.ƒ?ù Why arenƒ??t our deep State authorities looking at this? Rigged &amp; corrupt? @TuckerCarlson @seanhannity,2017-11-29,105
Just won the lawsuit on leadership of Consumer Financial Protection Bureau CFPB. A big win for the Consumer!,2017-11-29,105
Great work Ivanka! https://t.co/AQL4JLvnDh,2017-11-29,105
Great day for Tax Cuts and the Republican Party. But the biggest Winner will be our great Country!,2017-11-29,105
RT @EricTrump: #MakeAmericaGreatAgain https://t.co/Q7AiR0buM2,2017-11-29,105
.@foxandfriends we are in record territory in all things having to do with our economy! https://t.co/VB0Ao3s18d,2017-11-29,105
RT @JaydaBF: VIDEO: Muslim migrant beats up Dutch boy on crutches! https://t.co/11LgbfFJDq,2017-11-29,105
RT @JaydaBF: VIDEO: Muslim Destroys a Statue of Virgin Mary! https://t.co/qhkrfQrtjV,2017-11-29,105
RT @JaydaBF: VIDEO: Islamist mob pushes teenage boy off roof and beats him to death! https://t.co/XxtlxNNSiP,2017-11-29,105
Great and we should boycott Fake News CNN. Dealing with them is a total waste of time! https://t.co/8zJ3j7g5el,2017-11-29,105
Looks like another great day for the Stock Market. Consumer Confidence is at Record High. I guess somebody likes me (my policies)!,2017-11-29,105
Wow Matt Lauer was just fired from NBC for ƒ??inappropriate sexual behavior in the workplace.ƒ?ù But when will the top executives at NBC &amp; Comcast be fired for putting out so much Fake News. Check out Andy Lackƒ??s past!,2017-11-29,105
So now tha Matt Lauer is gone when will the Fake News practitioners at NBC be terminating the contract of Phil Griffin? And will they terminate low ratings Joe Scarborough based on the ƒ??unsolved mysteryƒ?ù that took place in Florida years ago? Investigate!,2017-11-29,105
So now that Matt Lauer is gone when will the Fake News practitioners at NBC be terminating the contract of Phil Griffin? And will they terminate low ratings Joe Scarborough based on the ƒ??unsolved mysteryƒ?ù that took place in Florida years ago? Investigate!,2017-11-29,105
Just spoke to President XI JINPING of China concerning the provocative actions of North Korea. Additional major sanctions will be imposed on North Korea today. This situation will be handled!,2017-11-29,105
Economy growing! Excluding hurricane effects CEA estimates that real GDP growth would have been 3.9% in Q3.Stock market at a new high unemployment at a low. We are winning and TAX CUTS will shift our economy into high gear! https://t.co/HrKIF72VqE,2017-11-29,105
Departing @JBA_NAFW for St. Charles Missouri to help push our plan for HISTORIC TAX CUTS across the finish line.A successful vote in the Senate this week will bring us one giant step closer to delivering an incredible victory for the American people!https://t.co/jR1DEUnm2h https://t.co/XF9sRwdV8u,2017-11-29,105
This week the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone of America. Together we will give the American people a big beautiful Christmas present-a massive tax cut that lets Americans keep more of their HARD-EARNED MONEY! https://t.co/9jddEW2Oo5,2017-11-29,105
A vote to CUT TAXES is a vote to PUT AMERICA FIRST. It is time to take care of OUR WORKERS to protect OUR COMMUNITIES and to REBUILD OUR GREAT COUNTRY! https://t.co/wW3QNxcCHf https://t.co/sRL2yRK6k2,2017-11-29,105
Now we have a once in a lifetime opportunity to RESTORE AMERICAN PROSPERITY ƒ?? and RECLAIM AMERICAƒ??S DESTINY.But in order to achieve this bright and glowing future the SENATE MUST PASS TAX CUTS ƒ?? and bring Main Street roaring back to life!https://t.co/jMNwEMrbbr https://t.co/3Niu0thp1D,2017-11-30,105
Theresa @theresamay donƒ??t focus on me focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom. We are doing just fine!,2017-11-30,105
.@Theresa_May donƒ??t focus on me focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom. We are doing just fine!,2017-11-30,105
The House of Representatives seeks contempt citations(?) against the JusticeDepartment and the FBI for withholding key documents and an FBI witness which could shed light on surveillance of associates of Donald Trump. Big stuff. Deep State. Give this information NOW! @FoxNews,2017-11-30,105
The only people who donƒ??t like the Tax Cut Bill are the people that donƒ??t understand it or the Obstructionist Democrats that know how really good it is and do not want the credit and success to go to the Republicans!,2017-11-30,105
"ƒ??Had the information (Crooked Hillaryƒ??s emails) been released there would have been harm to National Security....""Charles McCulloughFmr Intel Comm Inspector General https://t.co/b0tLW5TVhX",2017-11-30,105
Funny to hear the Democrats talking about the National Debt when President Obama doubled it in only 8 years!,2017-11-30,105
The Failing @nytimes the pipe organ for the Democrat Party has become a virtual lobbyist for them with regard to our massive Tax Cut Bill. They are wrong so often that now I know we have a winner!,2017-11-30,105
The Failing @nytimes has totally gone against the Social Media Guidelines that they installed to preserve some credibility after many of their biased reporters went Rogue!  @foxandfriends,2017-11-30,105
The Chinese Envoy who just returned from North Korea seems to have had no impact on Little Rocket Man. Hard to believe his people and the military put up with living in such horrible conditions. Russia and China condemned the launch.,2017-11-30,105
Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!,2017-11-30,105
The Dow just broke 24000 for the first time (another all-time Record). If the Dems had won the Presidential Election the Market would be down 50% from these levels and Consumer Confidence which is also at an all-time high would be ƒ??low and glum!ƒ?ù,2017-11-30,105
Thank you @SenOrrinHatch. Letƒ??s continue MAKING AMERICA GREAT AGAIN! https://t.co/PIv9OAVZcf https://t.co/6egRvuwj1l,2017-11-30,105
Today it was my great honor to meet with the Crown Prince of Bahrain at the @WhiteHouse. Bahrain and the United States are important partners.During the Crown Princeƒ??s visit he is advancing $9 BILLION in commercial deals including finalizing the purchase of F-16ƒ??s... https://t.co/vYuw7UGYmN,2017-11-30,105
Our FIFTH 1K milestone of 2017!#DOW24K #MAGA https://t.co/NoVt1uFp0y,2017-11-30,105
Today is a day that Iƒ??ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak about many times before. Now as President of the United States it is my tremendous honor to finally wish America and the world a very MERRY CHRISTMAS! https://t.co/cTvdlUkfHV,2017-12-01,106
The Christmas Story begins 2000 years ago with a mother a father their baby son and the most extraordinary gift of allƒ??the gift of Godƒ??s love for all of humanity.Whatever our beliefs we know that the birth of Jesus Christ and the story of his life... https://t.co/P94C3LjWlx,2017-12-01,106
A disgraceful verdict in the Kate Steinle case! No wonder the people of our Country are so angry with Illegal Immigration.,2017-12-01,106
The Kate Steinle killer came back and back over the weakly protected Obama border always committing crimes and being violent and yet this info was not used in court. His exoneration is a complete travesty of justice. BUILD THE WALL!,2017-12-01,106
The jury was not told the killer of Kate was a 7 time felon. The Schumer/Pelosi Democrats are so weak on Crime that they will pay a big price in the 2018 and 2020 Elections.,2017-12-01,106
Republicans Senators are working hard to pass the biggest Tax Cuts in the history of our Country. The Bill is getting better and better. This is a once in a generation chance. Obstructionist Dems trying to block because they think it is too good and will not be given the credit!,2017-12-01,106
RT @WhiteHouse: President Trump proclaims today as #WorldAIDSDay: https://t.co/AMqW8mWiak https://t.co/XGp8EelNzz,2017-12-01,106
